http://www.youtube.com/embed/_b_LE9cvEuI,E Major 11 *E - E Major /A Lydian / B Mixolydian,E / A B C# D# E F# G# A B E - E Major or A Lydian 11 - E Major /A Lydian / B Mixolydian,
http://www.youtube.com/embed/cBJ875bSSks,Mixolydian,D / A B C D E F# G A - D "Mixolydian" 9 - D Mixolydian / A Dorian heptatonic,
http://www.youtube.com/embed/cETMY1iIY0A,Banshiki-Cho,Db / F Ab Bb Db Eb F Ab Db - Db major / F minor pentatonic,
http://www.youtube.com/embed/ChMywre-v6Q,Big Bear extended,B / (C#) E F# (G) A B C# D (E) F# A (B) - B "Big Bear extended" 13 - B minor / E Dorian heptatonic,
http://www.youtube.com/embed/ciNZY-z3qjE,Celtic minor,D / A C D E F G A C D A F - D "Celtic minor" 11 - D/A minor hexatonic,
http://www.youtube.com/embed/CMqyJQRA5Fk,La Sirena,F "La Sirena" 16 inox - F Dorian / Eb Major,
http://www.youtube.com/embed/d55xejNbYPU,Pygmy,B/E F# G B D E F# G - B2/E3 "Pygmy" - B/E minor pentatonic,
http://www.youtube.com/embed/D5rt9FhfnsA,C/F Raga Simharava - C harmonic minor hexatonic,C / F G Ab B C Eb F G,
http://www.youtube.com/embed/DaULy-Ssc0Q,Hijaz,C / G Ab B C D Eb F G - C Harmonic minor / G Hijaz heptatonic,
http://www.youtube.com/embed/dbZ5yoH6se0,B ShelloPango octatonic 18 - B minor / F# Phrygian & Hijaz,B/(D)(E )F#(G)A{A#}BC#DEF#G(A)B(C#)(D)(E),
http://www.youtube.com/embed/dgzb4cpPKqg,F Major 453Hz handpan - demo by Matthieu Shellopan,Voici une démonstration musicale d'un handpan accordé sur un diapason à 453Hz. ,
http://www.youtube.com/embed/dHBPjD1wOxM,Low Pygmy variation,F / C Eb F G Ab C Eb F G - F "Low Pygmy variation" 10 - F minor pentatonic,
http://www.youtube.com/embed/dj_MApbnwHs,E Celtic minor extended 18 432hz - E minor heptatonic,E / (F#)(G)(A) B (C4) D E F# G A (C5) B D E [F# G A],
http://www.youtube.com/embed/dLAR8sKz6zE,Hijaz & Aeolian,B / (E) F# G A# B C# D E F# (G) [A] (B) (C#) (E) - B2 Harmonic minor/ E3 Romanian minor / F#3 Hijaz / B3 natural minor /... 15 notes octatonic,
http://www.youtube.com/embed/DNh1fPlen6w,Romanian Hijaz,C/(D)(Eb)FGAbBCDEbF(G)(Ab)(B)(C),
http://www.youtube.com/embed/DS818NRs_Mg,Kurd extended,D / (F) (G) A Bb C D E F G A C (D) (F) - D minor / A Phrygian 14,
http://www.youtube.com/embed/e6euEI7rBsg,Celtic major,C# / G# B C# D# E# F# G# B C# - C# "Celtic major" 10 - C# mixolydian / G# dorian hexatonic,
http://www.youtube.com/embed/E9L770zFjow,Low Pygmy,F/GAbCEbFGAbC[Eb]F[G][C],
http://www.youtube.com/embed/EEojC1uOZN8,DeepMajor,A/(D)E(F#)GABC#DEF#(G)(A)(B),
http://www.youtube.com/embed/eIIfUSNZp3Y,La Sirena,(Eb)F/(G)Ab(Bb)CDEbFGAbC(D)EbFG,
http://www.youtube.com/embed/ESYts4tHoJw,Klezmara,C / G C Db E F G Ab C - C Hijaz / G Locrian nat. 6 hexatonic,
http://www.youtube.com/embed/eTq7dA3ioqg,Low Pygmy,F / G Ab C Eb F G Ab C F G - F "Low Pygmy" 11 - F minor pentatonic,
http://www.youtube.com/embed/f0-Yw3-HaHA,La Sirena heptatonic,F/AbBbCDEbFGAbC - F "La Sirena heptatonic" 10 - F Dorian / Ab Lydian - demoed by Cyrille LECOQ,
http://www.youtube.com/embed/fB9J7ul41zs,Blues,C3 / F3 Ab3 Bb3 ‘B3’ C4 Eb4 F4 Ab4,
